ID,Area,User story,Expected behavior (from code),Status,Evidence,Notes
APP-1,App shell,I open a .md file from Finder and it opens in Marker,Info.plist CFBundleDocumentTypes claims net.daringfireball.markdown with LSHandlerRank Owner; NSDocumentClass MarkerDocument,Pass (tests),AppBundleTests,
APP-2,App shell,I open .markdown .mdown .mkd .mkdn and they open too,UTImportedTypeDeclarations lists all five extensions under public.filename-extension,Pass (tests),AppBundleTests,
APP-3,App shell,"I open a .txt, .json or .yaml and Marker still shows it","Second CFBundleDocumentTypes entry claims public.plain-text, public.json, public.yaml at LSHandlerRank Alternate",Pass (tests),AppBundleTests,
APP-4,App shell,Launching with no document offers me a file to open,"applicationShouldOpenUntitledFile returns true, applicationOpenUntitledFile calls NSDocumentController.openDocument(nil)",Pass,,open panel appears for a returning user via LaunchServices
APP-5,App shell,The window opens at a usable size and remembers where I left it,"DocumentWindowController contentRect 900x700, contentMinSize 420x320, setFrameAutosaveName MarkerDocumentWindow",Pass (code),,
APP-6,App shell,A long document scrolls all the way to its last line,MarkdownTextView.isVerticallyResizable false and sizeToFitContent enumerates every fragment with .ensuresLayout; frame height >= usageBounds height,Pass (tests),ScrollSizingTests,
APP-7,App shell,Resizing the window keeps the text column centred,viewDidLayout re-runs apply(theme:availableWidth:) when the width changes by more than 0.5pt,Pass (code),,
APP-8,App shell,Closing the last window does not quit the app,applicationShouldTerminateAfterLastWindowClosed returns false,Pass (code),,
APP-9,App shell,The title bar shows the file name and does not collide with the text,"styleMask includes fullSizeContentView, toolbarStyle unified, titleVisibility visible",Pass (code),,
APP-10,App shell,Opening a second document gives it its own window,shouldCascadeWindows true; NSDocument one window controller per document,Pass (code),,
APP-11,App shell,A Help menu exists and can reopen the walkthrough,MainMenu.helpMenuItem installs Welcome to Marker wired to MarkerApp.showWelcome,Pass,,Help menu installed
WEL-1,Walkthrough,On first launch I get a welcome window explaining the app,WelcomeWindowController.shouldShowAtLaunch true when MarkerHasSeenWelcome is unset,Pass,WEL-1.png,
WEL-2,Walkthrough,On the second launch it does not appear again,applicationDidFinishLaunching sets Preferences.hasSeenWelcome true before showing,Pass,,second launch shows the open panel and no welcome window
WEL-3,Walkthrough,The launch open panel does not cover the welcome window,applicationShouldOpenUntitledFile returns false when presentedWelcome or shouldShowAtLaunch,Pass,,"was Fail, see defects.md D-2"
WEL-4,Walkthrough,The four rows settle in rather than appearing all at once,rows animate opacity plus 8pt rise on MarkerMotion.micro delayed by index times MarkerMotion.stagger,Pass (code),,
WEL-5,Walkthrough,"With Reduce Motion on, nothing slides",MarkerMotion.settle returns easeInOut 0.2 with no travel when accessibilityReduceMotion,Pass (code),,
WEL-6,Walkthrough,The button opens a real document I can read and edit,WelcomeDocument.open copies the bundled template to Application Support then opens the copy,Pass (tests),WelcomeTests,
